"The University of Texas MD Anderson Cancer Center
Professional Charge List",,,,
Pricing as of December 2018.,,,,
"DISCLAIMER: THIS SITE IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT AN OFFER OR REPRESENTATION OF ACTUAL PRICING FOR SERVICES; MD ANDERSON IS PROVIDING THIS INFORMATION ON AN AS-IS BASIS TO GIVE PATIENTS A GENERAL IDEA OF POTENTIAL CHARGES ASSOCIATED WITH MEDICAL CARE AND DOES NOT WARRANT THE ACCURACY, COMPLETENESS, OR USEFULNESS OF THE INFORMATION PROVIDED.  THIS INFORMATION IS NEITHER INTENDED TO BE NOR SHOULD IT BE CONSIDERED FINANCIAL OR MEDICAL ADVICE.  MD ANDERSON MAKES NO GUARANTEES REGARDING THE CHARGE INFORMATION PROVIDED ON THIS WEBSITE. THE CHARGE INFORMATION IS STRICTLY AN ESTIMATE OF CHARGES AND MD ANDERSON CANNOT GUARANTEE THE ESTIMATES BECAUSE SERVICES RENDERED TO EACH PATIENT AND THEIR COST MAY VARY BECAUSE OF TREATMENT DECISIONS, UNFORESEEN COMPLICATIONS, ADDITIONAL TESTS OR SERVICES ORDERED BY YOUR PHYSICIAN, AND THE INDIVIDUAL NEEDS OF EACH PATIENT. IN ADDITION, ESTIMATES MAY CHANGE BASED ON YOUR CONTRACTED INSURANCE BENEFITS, INSURANCE POLICY EXCLUSIONS, MAXIMUM BENEFITS, PENDING FINANCIAL ASSISTANCE, OR PENDING STATE/FEDERAL PROGRAM OR OTHER AID.",,,,
2019,61526,PR EXCIS TRANSTEMP CP ANGLE TUMOR,"$11,774.00",
2020,61530,PR EXCIS COMBINED CP ANGLE TUMOR,"$12,362.00",
2021,61548,"PR EXCIS PITUITARY,TRANSNASAL/SEPTAL","$12,068.00",
2022,61563,PR EXCIS INTRA/EXTRA BENIGN BONE TUMOR,"$11,597.00",
2023,61575,"PR TRANSORAL APPROACH EXC,BX,DECOMPR","$12,336.00",
2024,61580,"PR CRANIOFACIAL APPROACH,EXTRADURAL","$8,642.00",
2025,61581,"PR CRANIOFACIAL APPROACH,EXTRADURAL+","$10,302.00",
2026,61582,"PR CRANIOFACIAL APPROACH,EXTRADURAL++","$10,597.00",
2027,61583,"PR CRANIOFACIAL APPROACH,INTRADURAL","$12,974.00",
2028,61584,PR ORBITOCRANIAL APPROACH/SKULL,"$10,851.71",
2029,61585,PR ORBITOCRANIAL APPROACH/SKULL+,"$14,628.21",
2030,61586,"PR BICOR,XZYGOMA APPROACH ANT CRAN FOSS","$7,359.00",
2031,61590,PR INFRATEMPORAL APPROACH/PREAURICULAR,"$8,604.00",
2032,61591,PR INFRATEMPORAL APPROACH/POSTAURICULAR,"$13,306.00",
2033,61592,PR ORBITOCRANIAL APPROACH/ZYGOMATIC,"$14,455.00",
2034,61595,PR TRANSTEMPORAL APPROACH/SKULL,"$9,831.00",
2035,61596,PR TRANSCOCHLEAR APPROACH/SKULL,"$10,597.00",
2036,61597,PR TRANSCONDYLAR APPROACH/SKULL,"$13,658.00",
2037,61598,PR TRANSPETROSAL APPROACH/SKULL,"$8,830.00",
2038,61600,PR RESECT BASE ANT CRAN FOSSA/EXTRADURL,"$10,753.00",
2039,61601,PR RESECT BASE ANT CRAN FOSSA/INTRADURL,"$11,854.00",
2040,61605,PR RESECT INFRATEMP FOSSA/EXTRADURL,"$11,067.00",
2041,61606,PR RESECT INFRATEMP FOSSA/INTRADURL,"$14,776.00",
2042,61607,PR RESECT PARASELLAR FOSSA/EXTRADURL,"$15,175.00",
2043,61608,PR RESECT PARASELLAR FOSSA/INTRADURL,"$16,071.00",
2044,61610,PR LIGATE CAROTID/CAVERN SINUS+REPAIR,"$11,891.00",
2045,61615,PR EXCIS BASE POST CRAN FOSSA/EXTRADURL,"$12,127.00",
2046,61616,PR EXCIS BASE POST CRAN FOSSA/INTRADURL,"$17,242.00",
2047,61624,"PR PERM OCCLUSION/EMBOLIZATION,PERCUT,CNS","$10,008.00",
2048,61720,PR CREATE LESN GLOBUS/THAL STEREO,"$11,067.00",
2049,61750,"PR STEREOTACTIC BRAIN BX,ASPIR,EXC","$10,597.00",
2050,61751,"PR STEREO BX/ASPIR/EXCIS,INTRACRANIAL LESN","$11,480.00",
2051,61781,"PR STEREOTACTIC COMP ASSIST PROC,CRANIAL,INTRADURAL","$1,529.00",
2052,61782,"PR STEREOTACTIC COMP ASSIST PROC,CRANIAL,EXTRADURAL","$1,297.00",
2053,61783,"PR STEREOTACTIC COMP ASSIST PROC,SPINAL","$1,529.00",
2054,61791,PR STEREO TREAT TRIGEMINAL TRACT,"$7,241.00",
2055,61796,"PR STEREOTACTIC RADIOSURGERY, CRANIAL,SIMPLE,SINGLE","$4,768.00",
2056,61797,"PR STEREOTACTIC RADIOSURGERY, CRANIAL,SIMPLE,EA ADD","$1,632.00",
2057,61798,"PR STEREOTACTIC RADIOSURGERY, CRANIAL,COMPLEX,SINGLE","$6,589.00",
2058,61799,PB UNLISTED STRTCTC RADIOSURGERY EA ADDL CRANIAL LES COMPLEX ,"$2,327.00",
2059,61800,PR APPLY STEREOTACTIC HEADFRAME FOR RADIOSURGERY,$964.00,
2060,62100,"PR CRANIOTOMY,REPAIR,DURAL/CSF LEAK","$10,302.00",
2061,62121,"PR REPAIR ENCEPHALOCELE,BASE","$8,830.00",
2062,62140,"PR REPAIR SKULL DEFECT,UP TO 5 CM","$7,878.00",
2063,62141,"PR REPAIR SKULL DEFECT,>5 CM","$9,242.00",
2064,62142,PR REMOVE SKULL PLATE/FLAP,"$5,342.00",
2065,62143,PR REPLACE SKULL PLATE/FLAP,"$7,476.00",
2066,62161,"PR NEUROENDOSCOP,DISS ADHESION/FENESTRATION","$12,814.00",
2067,62164,"PR NEUROENDOSCOP,W/EXCISE BRAIN TUMOR","$15,175.00",
2068,62165,"PR NEUROENDOSCOP,EXC,PIT TUM,TRANSNAS/SPHEN","$13,826.00",
2069,62200,"PR VENTRICULO-CISTERNOSTOMY,3RD VENT","$10,302.00",
2070,62201,"PR VENTRICULO-CISTERNOSTOMY,3RD VENT,STEREO","$9,360.00",
2071,62223,PR CREATE SHUNT:VENTRIC-PERITONEAL,"$7,947.00",
2072,62230,"PR REPLACEMENT/REVISION,CSF SHUNT","$5,593.00",
2073,62252,"PR REPROGRAMMING,PROGRAMMABLE CSF SHUNT","$1,050.00",
2074,62258,PR REMOVE & REPLACE CSF SHUNT,"$8,150.00",
2075,62270,"PR SPINAL PUNCTURE,LUMBAR,DIAGNOSTIC",$435.00,
2076,62272,"PR SPINAL PUNCTURE,THERAPEUTIC DRAINAGE",$649.00,
2077,62273,"PR INJ,LUMB EPIDUR,BLOOD/CLOT PATCH",$914.86,
2078,62280,"PR INJ,NEUROLYTIC,SUBARACHNOID","$1,248.00",
2079,62281,"PR INJECT NEUROLYTIC,EPIDUR,CERV/THOR","$1,011.00",
2080,62282,"PR INJ,NEUROLYTIC,EPID/LUMB/CAUDAL","$2,372.99",
2081,62284,PR INJECTION PROCEDURE MYELOGRAPHY/CT LUMBAR,"$1,011.00",
2082,62302,PR MYELOGRAPHY VIA LUMBAR INJECTION RS&I CERVICAL,$987.00,
2083,62303,PR MYELOGRAPHY VIA LUMBAR INJECTION RS&I THORACIC,$987.00,
2084,62304,PR MYELOGRAPHY VIA LUMBAR INJECT RS&I LUMBOSACRAL,$970.00,
2085,62305,PR MYELOGRAPHY VIA LUMBAR INJECTION RS&I 2+ REGIONS,"$1,013.00",
2086,62321,PR NJX DX/THER SBST INTRLMNR CRV/THRC W/IMG GDN,$847.00,
2087,62322,PR NJX DX/THER SBST INTRLMNR LMBR/SAC W/O IMG GDN,$673.00,
2088,62323,PR NJX DX/THER SBST INTRLMNR LMBR/SAC W/IMG GDN,$782.00,
2089,62324,PR NJX DX/THER SBST INTRLMNR CRV/THRC W/O IMG GDN,$821.00,
2090,62326,PR NJX DX/THER SBST INTRLMNR LMBR/SAC W/O IMG GDN,$773.00,
2091,62327,PR NJX DX/THER SBST INTRLMNR LMBR/SAC W/IMG GDN,$825.00,
2092,62350,PR IMP SPINAL CANAL CATH,"$5,481.00",
2093,62355,PR REMOVE SPINAL CANAL CATHETER,"$2,658.00",
2094,62361,"PR INSERT/ PREPLACE INFUSN PUMP,NONPROGRAM","$2,762.00",
2095,62362,"PR INSERT/ REPLACE INFUSN PUMP,PROGRAMMABLE","$2,922.00",
2096,62365,PR REMOVE INFUSN DEVICE/PUMP,"$1,971.00",
2097,62367,PR ELECT ANLYS IMPLT ITHCL/EDRL PMP W/O REPRG/REFIL,$254.00,
2098,62368,PR ANALYZE INFUSN PUMP+REPROGRAM,$290.00,
2099,62369,PR ELECT ANLYS IMPLT ITHCL/EDRL PMP W/REPRG&REFILL,$271.00,
2100,62370,PR ELEC ANLYS IMPLT ITHCL/EDRL PMP W/REPR PHYS/QHP,$364.00,
2101,63001,"PR LAM W/O FACETEC FORAMOT/DSKC 1/2 VRT SEG, CERVICAL","$6,974.00",
2102,63003,"PR LAM W/O FACETEC FORAMOT/DSKC 1/2 VRT SEG, THORACIC","$7,902.00",
2103,63005,"PR LAM W/O FACETEC FORAMOT/DSKC 1/2 VRT SEG, LUMBAR","$6,667.00",
2104,63011,"PR LAM W/O FACETEC FORAMOT/DSKC 1/2 VRT SEG, SACRAL","$7,507.00",
2105,63012,"PR LAMINECTOMY,FACETECTOMY,LUMBAR","$7,902.00",
2106,63015,"PR LAMINECTOMY,>2 SGMT,CERVICAL","$8,495.00",
2107,63016,"PR LAMINECTOMY,>2 SGMT,THORACIC","$8,890.00",
2108,63017,"PR LAMINECTOMY,>2 SGMT,LUMBAR","$11,893.00",
2109,63020,"PR EXCIS CERV DISK,ONE LEVEL","$8,015.00",
2110,63030,PR LAMNOTMY INCL W/DCMPRSN NRV ROOT 1 INTRSPC LUMBR,"$7,556.00",
2111,63035,PR LAMNOTMY W/DCMPRSN NRV EACH ADDL CRVCL/LMBR,"$2,470.00",
2112,63040,PR LAMINOTOMY,"$12,330.34",
2113,63043,"PR REDO EXCIS CERV DISK, ADDN CERV INTERSPC","$4,511.11",
2114,63045,"PR LAMINEC/FACETECT/FORAMIN,CERVICAL 1 SEG","$10,057.00",
2115,63046,"PR LAMINEC/FACETECT/FORAMIN,THORACIC 1 SEG","$9,137.00",
2116,63047,"PR LAMINEC/FACETECT/FORAMIN,LUMBAR 1 SEG","$9,137.00",
2117,63048,"PR LAMINEC/FACETECT/FORAMIN,EACH ADDNL","$2,963.00",
2118,63075,"PR DISK SURG,ANTER,CERVICAL,SINGLE LVL","$8,986.00",
2119,63076,"PR DISK SURG,ANTER,CERV,EA ADDNL LVL","$2,787.00",
2120,63077,"PR DISK SURG,THORAX,SINGLE LEVEL","$10,700.00",
2121,63078,"PR DISK SURG,THORAX,EA ADDNL LEVEL","$2,470.00",
2122,63081,"PR REMV VERT BODY,CERV,ONE SGMT","$9,383.00",
2123,63082,"PR REMV VERT BODY,CERV,EACH ADDNL SGMT","$3,112.00",
2124,63085,"PR REMV VERT BODY,THOR,ONE SGMT","$11,357.00",
2125,63086,"PR REMV VERT BODY,THOR,EACH ADDNL SGMT","$3,112.00",
2126,63087,"PR REMV VERT BODY,LO THOR/LUMB,ONE","$18,803.42",
2127,63088,"PR REMV VERT BODY,LO THOR/LUMB,EA ADDNL","$3,471.00",
2128,63090,"PR REMV VERT BODY,LOWER,RETROPER,ONE","$11,504.00",
2129,63091,"PR REMV VERT BODY,LOWR,RETROPER,EA ADDN","$2,963.00",
2130,63101,"PR REMV VERT BODY, LATERAL, THORACIC","$11,307.57",
2131,63102,"PR REMV VERT BODY, LATERAL, LUMBAR","$11,806.00",
2132,63103,PR REMOVE VERTEBRAL BODY ADD-ON,"$3,735.00",
2133,63182,"PR REVISE SP CORD LIG,CERV,>2 SGMT","$8,184.00",
2134,63185,"PR INCISE SP COLUMN/NERVES,ONE/TWO LVL","$6,621.00",
2135,63266,"PR EXCIS INTRASP LESN,XDURAL,THORACIC","$8,903.00",
2136,63267,"PR EXCIS INTRASP LESN,XDURAL,LUMBAR","$7,932.00",
2137,63268,"PR EXCIS INTRASP LESN,XDURAL,SACRAL","$7,394.00",
2138,63275,"PR BX/EXCIS SPINAL TUMOR,XDURAL,CERV","$9,454.00",
2139,63276,"PR BX/EXCIS SPINAL TUMOR,XDURAL,THOR","$9,362.00",
2140,63277,"PR BX/EXCIS SPINAL TUMOR,XDURAL,LUMB","$9,563.00",
2141,63278,"PR BX/EXCIS SPINAL TUMOR,XDURAL,SACR","$8,208.00",
2142,63280,"PR BX/EXCIS SPIN TUM,INDUR,XMED,CERV","$19,230.77",
2143,63281,"PR BX/EXCIS SPIN TUM,INDUR,XMED,THOR","$12,920.00",
2144,63282,"PR BX/EXCIS SPIN TUM,INDUR,XMED,LUMB","$10,536.00",
2145,63285,"PR BX/EXCIS SPIN TUM,INDUR,INMED,CERV","$15,500.00",
2146,63286,"PR BX/EXCIS SPIN TUM,INDUR,INMED,THOR","$14,225.00",
2147,63287,"PR BX/EXCIS SPIN TUM,INDUR,INMED,THLUM","$19,938.00",
2148,63295,"PR REPAIR OF LAMINECTOMY DEFECT, ADD-ON","$2,137.00",
2149,63600,"PR CREATE SP CORD LESN,STEREOTAC","$4,939.00",
2150,63620,"PR STEREOTACTIC RADIOSURGERY, SPINAL, SINGLE LESION","$6,474.00",
2151,63621,"PR STEREOTACTIC RADIOSURGERY, SPINAL, EA ADD LESION","$1,714.00",
2152,63650,"PR PERCUT IMPLNT NEUROELECT,EPIDURAL","$6,075.00",
2153,63655,"PR SURG IMPLNT NEUROELECT,EPIDURAL","$8,297.00",
2154,63661,"PR REMOVE SPINAL NEUROSTIM ELECTRODE PERC ARRAY, INCL FLUORO","$2,177.00",
2155,63662,"PR REMOVE SPINAL NEUROSTIM ELECTRODE PLATE/PADDLE, INCL FLUORO","$4,714.00",
2156,63663,"PR REVISION SPINAL NEUROSTIM ELECTRODE PERC ARRAY, INCL FLUORO","$3,321.00",
2157,63685,PR IMPLANT SPINAL NEUROSTIM/RECEIVER,"$2,988.00",
2158,63688,PR REVISE/REMOVE SPINAL NEUROSTIM/RECEIVER,"$3,236.00",
2159,63707,"PR REPR,DURAL/CSF LEAK,NOT REQ LAMINECTOMY","$7,490.00",
2160,63710,"PR DURAL GRAFT REPAIR,SPINE DEFECT","$6,914.00",
2161,64400,"PR INJECT NERV BLCK,TRIGEMINAL",$755.00,
2162,64402,"PR INJECT NERV BLCK,FACIAL NERV",$955.00,
2163,64405,"PR INJECT NERV BLCK,GREAT OCCIPTL","$1,087.00",
2164,64413,"PR INJECT NERV BLCK,CERV PLEXUS","$1,558.97",
2165,64415,"PR INJ,ANES AGENT,BRACHIAL PLEXUS,SINGLE","$1,321.28",
2166,64416,"PR INJ,ANES AGENT,BRACHIAL PLEXUS,CONT INF","$1,959.83",
2167,64417,"PR INJECT NERV BLCK,AXILLARY NERV","$1,558.97",
2168,64418,"PR INJECT NERV BLCK,SUPRASCAP N.","$1,199.00",
2169,64420,"PR INJECT NERV BLCK,INTERCOSTAL,ONE","$1,139.20",
2170,64421,"PR INJECT NERV BLCK,INTERCOST,MULTPL","$2,035.00",
2171,64425,"PR INJECT NERV BLCK,ILIOINGU/ILIOHYP","$1,284.00",
2172,64430,"PR INJECT NERV BLCK,PUDENDAL","$1,021.00",
2173,64445,"PR INJ,ANES AGENT,SCIATIC NERVE,SINGLE","$1,021.00",
2174,64446,"PR INJ,ANES AGENT,SCIATIC NERVE,CONT INF","$1,823.08",
2175,64447,"PR INJ,ANES AGENT,FEMORAL NERVE,SINGLE","$1,295.13",
2176,64448,"PR INJ,ANES AGENT,FEMORAL NERVE,CONT INF","$2,264.84",
2177,64450,"PR INJECT NERV BLCK,OTHR PERIPH NERV",$679.00,
2178,64455,PR INJECT ANES/STEROID PLANTAR COMMON DIGITAL NERVE,$321.00,
2179,64463,PR PVB THORACIC CONT CATHETER INFUSION W/IMG GID,$825.00,
2180,64479,"PR INJECT ANES/STEROID FORAMEN CERV/THORACIC W IMG GUIDE ,1 LEVEL","$1,186.00",
2181,64480,"PR INJECT ANES/STEROID FORAMEN CERV/THORACIC W IMG GUIDE ,EA ADD LEVEL",$735.00,
2182,64483,"PR INJECT ANES/STEROID FORAMEN LUMBAR/SACRAL W IMG GUIDE ,1 LEVEL",$988.00,
2183,64484,"PR INJECT ANES/STEROID FORAMEN LUMBAR/SACRAL W IMG GUIDE ,EA ADD LEVEL",$578.00,
2184,64486,PR TAP BLOCK UNILATERAL BY INJECTION(S),$548.00,
2185,64487,PR TAP BLOCK UNILATERAL BY CONTINUOUS INFUSION(S),$638.00,
2186,64488,PR TAP BLOCK BILATERAL BY INJECTION(S),$690.00,
2187,64489,PR TAP BLOCK BILATERAL BY CONTINUOUS INFUSION(S),"$1,112.54",
2188,64490,"PR INJ DX/THER AGNT PARAVERT FACET JOINT,IMG GUIDE,CERV/THORAC, 1ST LEVEL","$1,024.20",
2189,64491,"PR INJ DX/THER AGNT PARAVERT FACET JOINT,IMG GUIDE,CERV/THORAC, 2ND LEVEL",$842.40,
2190,64492,"PR INJ DX/THER AGNT PARAVERT FACET JOINT,IMG GUIDE,CERV/THORAC, ADD LEVEL",$843.47,
2191,64493,"PR INJ DX/THER AGNT PARAVERT FACET JOINT,IMG GUIDE,LUMBAR/SAC, 1ST LEVEL",$826.57,
2192,64494,"PR INJ DX/THER AGNT PARAVERT FACET JOINT,IMG GUIDE,LUMBAR/SAC, 2ND LEVEL",$744.18,
2193,64495,"PR INJ DX/THER AGNT PARAVERT FACET JOINT,IMG GUIDE,LUMBAR/SAC, ADD LEVEL",$848.05,
2194,64505,"PR INJECT NERV BLCK,SPHENOPALAT GANGLN",$823.00,
2195,64510,"PR INJECT NERV BLCK,STELLATE GANGLION","$2,009.00",
2196,64517,"PR N BLOCK INJ, HYPOGAS PLXS","$2,283.00",
2197,64520,"PR INJECT NERV BLCK,PARAVERT SYMPATH","$1,877.00",
2198,64530,"PR INJECT NERV BLCK,CELIAC PLEXUS","$2,455.00",
2199,64561,PR PRQ IMPLTJ NEUROSTIM ELTRD SACRAL NRVE W/IMAGING,"$1,965.00",
2200,64570,PR REMOVE IMPLANT CRANIAL NERVE STIM ELECTRODE/PULSE GEN,"$3,711.00",
2201,64581,"PR INCISION,IMPLANT,NEUROELEC,SACRAL NERVE","$2,354.00",
2202,64585,PR REVISE/REMOVE PERIPHERAL NEUROELECTRODE,"$1,581.00",
2203,64590,PR IMPLANT PERIPH/GASTRIC NEUROSTIM/RECEIVER,"$1,581.00",
2204,64595,PR REVISE/REMOVE PERIPH/GASTRIC NEUROSTIM/RECEIVER,"$1,318.00",
2205,64600,"PR INJECT TRIGEM NERV,1ST BRANCH",$762.00,
2206,64610,"PR INJECT 5TH N.-2,3 DIV,F.OVALE,XRAY","$2,198.29",
2207,64611,"PR CHEMODENERVATION PAROTID/SUBMANDIBULAR SALIVARY GLANDS,BILATERAL",$420.00,
2208,64612,PR CHEMODENERVATION MUSC INNERVATED FACIAL NRV UNILATERAL,"$1,234.00",
2209,64615,PR CHEMODENERVATION MUSC INNERVATED FACIAL/TRIGEM/CERV MUSC MIGRAINE,$745.00,
2210,64616,PR CHEMODENERVATION MUSCLE NECK UNILAT FOR DYSTONIA,$647.00,
2211,64617,PR CHEMODENERVATION MUSCLE LARYNX UNILAT W/EMG,$804.00,
2212,64620,"PR DEST,INTERCOSTAL,NEUROLYTIC",$936.00,
2213,64633,PR DSTR NROLYTC AGNT PARVERTEB FCT SNGL CRVCL/THORA,"$1,552.00",
2214,64634,PR DSTR NROLYTC AGNT PARVERTEB FCT ADDL CRVCL/THORA,$533.00,
2215,64635,PR DSTR NROLYTC AGNT PARVERTEB FCT SNGL LMBR/SACRAL,"$1,528.00",
2216,64636,PR DSTR NROLYTC AGNT PARVERTEB FCT ADDL LMBR/SACRAL,$469.00,
2217,64640,PR DESTRUCT BY NEURO AGENT; OTHER PERIPH NERVE,"$1,265.00",
2218,64642,PR CHEMODENERVATION ONE EXTREMITY 1-4 MUSCLE,$698.00,
2219,64643,PR CHEMODENERVATION 1 EXTREMITY EA ADDL 1-4 MUSCLE,$516.00,
2220,64644,PR CHEMODENERVATION 1 EXTREMITY 5 OR MORE MUSCLES,$770.00,
2221,64645,PR CHEMODENERVATION 1 EXTREMITY EA ADDL 5/< MUSCLES,$588.00,
2222,64646,PR CHEMODENERVATION OF TRUNK MUSCLE 1-5 MUSCLES,$761.00,
2223,64650,PR CHEMODENERV ECCRINE GLANDS BOTH AXILLAE,$300.00,
2224,64653,"PR CHEMODENERV ECCRINE GLANDS, NON-AXILLARY",$377.00,
2225,64680,PR INJECT RX CELIAC PLEXUS NERVE,"$1,743.00",
2226,64681,PR INJECTION TREATMENT OF NERVE,"$2,764.00",
2227,64708,"PR NEUROPLASTY OTHER ARM/LEG NERVE,OPEN","$7,668.00",
2228,64712,"PR NEUROPLASTY SCIATIC NERVE,OPEN","$7,108.00",
2229,64713,"PR NEUROPLASTY BRACHIAL PLEXUS,OPEN","$5,367.00",
2230,64714,"PR NEUROPLASTY LUMBAR PLEXUS,OPEN","$4,192.53",
2231,64716,PR REVISION OF CRANIAL NERVE,"$4,944.66",
2232,64718,PR REVISE ULNAR NERVE AT ELBOW,"$5,886.00",
2233,64721,PR REVISE MEDIAN N/CARPAL TUNNEL SURG,"$3,336.00",
2234,64722,PR RELIEVE PRESSURE ON NERVE(S),"$3,336.00",
2235,64727,"PR INTERN NERVE REVIS,OPER MICROSCOPE","$2,868.00",
2236,64734,PR TRANSECT INFRAORBITAL NERV,"$1,724.00",
2237,64740,PR TRANSECT OF TONGUE NERVE,"$3,989.00",
2238,64742,PR TRANSECT OF FACIAL NERVE,"$3,989.00",
2239,64744,PR TRANSECT GREAT OCCIPITAL NERV,"$2,539.00",
2240,64746,PR TRANSECT DIAPHRAGM NERVE,"$1,814.00",
2241,64763,"PR TRANSECT OBTURATR,XTRAPELV,HIP/LEG","$2,177.00",
2242,64766,"PR TRANSECT OBTURATR,INTRAPELV,HIP/LEG","$3,264.00",
2243,64771,"PR TRANSECT OTHER CRAN N,EXTRADURAL","$4,400.00",
2244,64772,"PR TRANSECT OTHR SPINAL N,XTRADURAL","$2,177.00",
2245,64788,PR EXCISE CUTANEOUS NEUROFIBROMA,"$6,040.00",
2246,64790,PR EXCISE MAJOR PERIPH NEUROFIBROMA,"$4,268.00",
2247,64792,PR EXCISE NEUROFIBROMA EXTENSIVE,"$4,714.00",
2248,64795,PR BIOPSY OF NERVE,"$1,451.00",
2249,64804,"PR SYMPATHECTOMY,CERVICOTHORACIC","$7,688.00",
2250,64856,PR REPAIR/TRANSPOS MAJ PERIPH NERVE,"$5,616.00",
2251,64857,PR REPAIR MAJOR PERIPHERAL NERVE,"$4,352.00",
2252,64861,PR REPAIR BRACHIAL PLEXUS,"$5,077.00",
2253,64864,"PR REFACIAL NERVE,EXTRACRANIAL","$5,179.00",
2254,64868,PR ANAST FACIAL-HYPOGLOSSAL NERVE,"$8,703.00",
2255,64885,"PR NERVE GRAFT,HEAD/NECK,ONE,=<4 CM","$5,893.00",
2256,64886,"PR NERVE GRAFT,HEAD/NECK,ONE,>4 CM","$10,155.00",
2257,64891,"PR NERVE GRAFT,HAND/FOOT,ONE,>4 CM","$5,802.00",
2258,64898,"PR NERV GRFT,ARM/LEG,MULT,>4 CM","$8,703.00",
2259,64901,"PR EA ADDNL NERVE GRAFT,SINGLE STRAND","$2,522.00",
2260,64902,"PR EA ADDNL NERVE GRAFT,MULTPL STRANDS","$3,554.00",
2261,64999,PB UNLISTED PROCEDURE NERVOUS SYSTEM ,$420-$17242,
2262,65091,PR REMOVE OCULAR CONTENTS,"$3,762.00",
2263,65101,PR REMOVAL OF EYE,"$4,218.00",
2264,65105,PR REMOVE EYE W MUSC TO IMPLANT,"$5,131.00",
2265,65110,PR REMOVAL OF ORBITAL CONTENTS,"$7,183.00",
2266,65114,PR REMOVE ORBIT W MUSC FLAP,"$8,209.00",
2267,65140,"PR LATE OCUL IMPLNT POST ENUCL,W MUSC","$5,131.00",
2268,65175,PR REMOVAL OF OCULAR IMPLANT,"$2,736.00",
2269,65430,PR CORNEAL SMEAR,$729.00,
2270,65435,PR CURETTE/TREAT CORNEA,$592.00,
2271,65436,"PR CURETTE/TREAT CORNEA,APPLY CHELATE",$901.00,
2272,65778,PR PLACE AMNIOTIC MEMBRA OCULAR SURFACE W/O SUTURES,"$1,400.00",
2273,65779,PR PLACE AMNIOTIC MEMBRANE OCULAR SURFACE SUTURED,"$2,391.00",
2274,65780,"PR OCULAR SURF RECONST, AMNIOTIC TRANSPLANT, MULTIPLE LAYERS","$3,783.00",
2275,65800,PR PARACENTSIS ANT CHAMB EYE ASPIR AQUEOUS SPX,$962.00,
2276,66605,"PR REMV IRIS,CYCLECTOMY","$4,075.00",
2277,66761,"PR IRIDOTOMY/IRIDECTOMY BY LASER, PER SESSION","$1,998.00",
2278,66821,"PR DISCISSION,2ND CATARACT,LASER","$1,716.00",
2279,66982,"PR REMV CATARACT EXTRACAP,INSERT LENS,COMP","$4,802.00",
2280,66984,"PR REMV CATARACT EXTRACAP,INSERT LENS","$3,995.00",
2281,66986,PR EXCHANGE LENS PROSTHESIS,"$4,428.00",
2282,67015,"PR RELEAS VITREOUS,SUBRET/CHOROID FLUID","$2,248.00",
2283,67027,PR IMPLANT EYE DRUG SYSTEM,"$8,036.00",
2284,67028,PR INJECT INTRAVITREAL PHARMCOLOGIC,"$1,071.00",
2285,67036,"PR VITRECTOMY,MECHANICAL","$6,128.00",
2286,67039,"PR VITRECTOMY,FOCAL LASER RX RETINA","$6,761.00",
2287,67040,"PR VITRECTOMY,PANRETINAL LASER RX","$7,183.00",
2288,67041,PR VITRECTOMY PARS PLANA REMOVE PRERETINAL MEMBRANE,"$8,142.00",
2289,67042,PR VITRECTOMY PARS PLANA REMOVE INT MEMB RETINA,"$9,484.00",
2290,67043,PR VITRECTOMY PARS PLANA REMOVE SUBRETINAL MEMBRANE,"$9,831.00",
2291,67108,"PR REPAIR DETACH RETINA,W VITRECTOMY","$8,451.00",
2292,67113,PR REPAIR COMPLEX RETINA DETACH VITRECTOMY & MEMB PEEL,"$9,638.00",
2293,67145,"PR PROPHYLAXIS RETINA DETACH,PHOTOCOAG","$2,486.00",
2294,67208,"PR DESTRUC RETINAL LESN,CRYOTHERAPY","$2,387.00",
2295,67210,"PR DESTRUC RETINAL LESN,PHOTOCOAG","$3,287.00",
2296,67218,"PR DESTRUC RETINAL LESN,RADN IMPLNT","$5,401.00",
2297,67221,"PR DEST,CHOROID LESN,PHOTODYNAMIC THERAPY",$934.00,
2298,67228,"PR TX EXTENSIVE RETINOPATHY, PHOTOCOAGULATION","$3,968.00",
2299,67299,PB UNLISTED PROCEDURE POSTERIOR SEGMENT,$2554-$4075,
2300,67345,PR DESTROY NERVE OF EYE MUSCLE,"$1,295.00",
2301,67400,PR EXPLORE EYE SOCKET,"$5,794.00",
2302,67412,"PR EXPLORE EYE SOCKET,REMV LESN","$5,452.00",
2303,67413,"PR EXPLORE EYE SOCKET,REMV F.B.","$5,452.00",
2304,67420,"PR LAT EXPLOR EYE SOCK,REMV LESN","$9,542.00",
2305,67450,PR LAT EXPLOR EYE SOCK,"$6,679.00",
2306,67515,"PR INJ,THER AGENT INTO TENON'S CAPSULE",$393.00,
2307,67570,PR DECOMPRESS OPTIC NERVE,"$6,816.00",
2308,67710,PR INCISION OF EYELID,$641.00,
2309,67800,"PR EXCIS CHALAZION,SINGLE",$377.00,
2310,67810,PR INCISIONAL BIOPSY EYELID SKIN & LID MARGIN,$642.00,
2311,67820,"PR REVISE EYELASHES,FORCEPS",$251.00,
2312,67825,PR REVISE EYELASHES,$709.00,
